Time;Location
10/07/03 18:06;46.6667092,24.8351447
10/07/03 18:06;46.6667102,24.8351422
10/07/03 18:06;46.6667105,24.8351412
10/07/03 18:06;46.6667098,24.8351413
10/07/03 18:06;46.6667102,24.8351403
10/07/03 18:06;46.6667103,24.8351393
10/07/03 18:06;46.6667108,24.8351378
10/07/03 18:06;46.6667122,24.8351348
10/07/03 18:06;46.6667125,24.835134
10/07/03 18:06;46.6667132,24.8351322
10/07/03 18:06;46.6667138,24.8351297
10/07/03 18:06;46.666714,24.8351273
10/07/03 18:06;46.666714,24.8351263
10/07/03 18:06;46.6667138,24.8351247
10/07/03 18:05;24.835126,46.66671
10/07/03 18:05;24.8351243,46.6667103
10/07/03 18:05;24.8351227,46.6667108
10/07/03 18:05;24.8351203,46.6667113
10/07/03 18:05;24.8351183,46.6667118
10/07/03 18:05;24.8351163,46.666712
10/07/03 18:05;24.8351155,46.6667117
10/07/03 18:05;24.8351122,46.6667118
10/07/03 18:05;24.8351112,46.6667115
10/07/03 18:05;24.8351097,46.6667113
10/07/03 18:05;24.8351068,46.666712
10/07/03 18:05;24.8351052,46.666712
10/07/03 18:05;24.8351028,46.6667117
10/07/03 18:05;24.8351017,46.6667117
10/07/03 18:05;24.8351,46.666712
10/07/03 18:05;24.8351005,46.6667113
10/07/03 18:05;24.835098,46.666711
10/07/03 18:05;24.8350967,46.6667113
10/07/03 18:05;24.835096,46.6667112
10/07/03 18:05;24.835095,46.6667112
10/07/03 18:05;24.8350947,46.666711
10/07/03 18:05;24.835095,46.6667103
10/07/03 18:05;24.8350967,46.6667097
10/07/03 18:05;24.835098,46.6667088
10/07/03 18:05;24.8350992,46.6667078
10/07/03 18:05;24.835100699999998,46.666707
10/07/03 18:05;24.8351052,46.666705
10/07/03 18:05;24.8351057,46.6667042
10/07/03 18:05;24.8351072,46.666703
10/07/03 18:05;24.8351083,46.6667012
10/07/03 18:05;24.8351072,46.6667008
10/07/03 18:05;24.8351013,46.6667017
10/07/03 18:05;24.8351015,46.666701
10/07/03 18:05;24.8351048,46.6666982
10/07/03 18:05;24.8351062,46.6666972
10/07/03 18:05;24.83511,46.6666958
10/07/03 18:05;24.8351117,46.6666948
10/07/03 18:05;24.8351118,46.6666947
10/07/03 18:05;24.8351157,46.6666932
10/07/03 18:05;24.8351173,46.6666923
10/07/03 18:05;24.8351193,46.6666915
10/07/03 18:05;24.8351222,46.6666907
